客代,標籤分類1,標籤分類2,標籤名稱,標籤值
11,基本類別,基本類別,年齡區間,70-79
11,基本類別,基本類別,星座,處女座
11,基本類別,基本類別,居住縣市,新北市新店區
11,基本類別,基本類別,會員等級,A級會員
11,基本類別,基本類別,會員年資分組,20年以上-25年以下
11,保健,保健功效,可推薦商品類別,加強心血管機能
11,保健,保健功效,可推薦商品類別,美容養顏
11,保健,保健功效,可推薦商品類別,眼睛保健
11,保健,保健功效,可推薦商品類別,提升調節免疫力
11,保健,保健功效,可推薦商品類別,護肝/抗疲勞
11,保健,保健功效,可推薦商品類別,體重管理
11,保健,高健康意識,是否有高健康意識,是
11,宗教商品,宗教風水偏好,有無宗教商品偏好,有
11,旅遊,旅遊偏好,旅遊國家偏好,日韓
11,旅遊,旅遊偏好,有無旅遊偏好,有
11,生活,生活用品偏好,有無生活用品偏好,有
11,美容,美容偏好,有無美容偏好,有
11,美容,美容偏好,美妝保養類型偏好,美甲
11,美容,美容偏好,美妝保養類型偏好,護膚SPA
11,食品,食品偏好,有無食品偏好,有
11,食品,飲食習慣,是否曾買過素食,是
11,食品,飲食習慣,是否為素食者,是
12,基本類別,基本類別,性別,女
12,基本類別,基本類別,年齡區間,60-69
12,基本類別,基本類別,星座,處女座
12,基本類別,基本類別,居住縣市,新北市板橋區
12,基本類別,基本類別,會員等級,A級會員
12,基本類別,基本類別,會員年資分組,20年以上-25年以下
12,保健,保健功效,可推薦商品類別,加強心血管機能
12,保健,保健功效,可推薦商品類別,美容養顏
12,保健,保健功效,可推薦商品類別,強化靈活關節
12,保健,保健功效,可推薦商品類別,眼睛保健
12,保健,保健功效,可推薦商品類別,提升調節免疫力
12,保健,保健功效,可推薦商品類別,體重管理
12,保健,高健康意識,是否有高健康意識,是
12,宗教商品,宗教風水偏好,有無宗教商品偏好,有
12,旅遊,旅遊偏好,旅遊國家偏好,日韓
12,旅遊,旅遊偏好,旅遊國家偏好,台灣
12,旅遊,旅遊偏好,有無旅遊偏好,有
12,生活,生活用品偏好,有無生活用品偏好,有
12,美容,美容偏好,有無美容偏好,有
12,美容,美容偏好,美妝保養類型偏好,護膚SPA
12,食品,食品偏好,有無食品偏好,有
12,寵物,寵物偏好,有無養寵物,無
13,基本類別,基本類別,性別,女
13,基本類別,基本類別,年齡區間,60-69
13,基本類別,基本類別,星座,白羊座
13,基本類別,基本類別,居住縣市,新北市三重區
13,基本類別,基本類別,會員等級,A級會員
13,基本類別,基本類別,會員年資分組,20年以上-25年以下
13,保健,保健功效,可推薦商品類別,加強心血管機能
13,保健,保健功效,可推薦商品類別,美容養顏
13,保健,保健功效,可推薦商品類別,強化靈活關節
13,保健,保健功效,可推薦商品類別,眼睛保健
13,保健,保健功效,可推薦商品類別,提升調節免疫力
13,保健,保健功效,可推薦商品類別,體重管理
13,保健,高健康意識,是否有高健康意識,是
13,宗教商品,宗教風水偏好,有無宗教商品偏好,有
13,旅遊,旅遊偏好,旅遊國家偏好,日韓
13,旅遊,旅遊偏好,旅遊國家偏好,台灣
13,旅遊,旅遊偏好,有無旅遊偏好,有
13,生活,生活用品偏好,有無生活用品偏好,有
13,美容,美容偏好,有無美容偏好,有
13,食品,食品偏好,有無食品偏好,有
13,食品,飲食習慣,是否為素食者,是
13,寵物,寵物偏好,有無養寵物,無
14,基本類別,基本類別,性別,女
14,基本類別,基本類別,年齡區間,80以上
14,基本類別,基本類別,星座,金牛座
14,基本類別,基本類別,居住縣市,新北市板橋區
14,基本類別,基本類別,會員等級,A級會員
14,基本類別,基本類別,會員年資分組,10年以上-15年以下
14,保健,保健功效,可推薦商品類別,女性保養
14,保健,保健功效,可推薦商品類別,加強心血管機能
14,保健,保健功效,可推薦商品類別,美容養顏
14,保健,保健功效,可推薦商品類別,強化靈活關節
14,保健,保健功效,可推薦商品類別,眼睛保健
14,保健,保健功效,可推薦商品類別,提升調節免疫力
14,保健,保健功效,可推薦商品類別,體重管理
14,保健,高健康意識,是否有高健康意識,是
14,旅遊,旅遊偏好,旅遊國家偏好,日韓
14,旅遊,旅遊偏好,有無旅遊偏好,有
14,生活,生活用品偏好,有無生活用品偏好,有
14,美容,美容偏好,有無美容偏好,有
14,美容,美容偏好,美妝保養類型偏好,護膚SPA
14,食品,食品偏好,有無食品偏好,有
15,基本類別,基本類別,性別,女
15,基本類別,基本類別,年齡區間,50-59
15,基本類別,基本類別,星座,射手座
15,基本類別,基本類別,居住縣市,台中市豐原區
15,基本類別,基本類別,會員等級,A級會員
15,基本類別,基本類別,會員年資分組,20年以上-25年以下
15,保健,保健功效,可推薦商品類別,加強心血管機能
15,保健,保健功效,可推薦商品類別,美容養顏
15,保健,保健功效,可推薦商品類別,強化靈活關節
15,保健,保健功效,可推薦商品類別,眼睛保健
15,保健,保健功效,可推薦商品類別,提升記憶力
15,保健,保健功效,可推薦商品類別,提升調節免疫力
15,保健,保健功效,可推薦商品類別,腎臟保養
15,保健,保健功效,可推薦商品類別,腸胃保健
15,保健,保健功效,可推薦商品類別,護肝/抗疲勞
15,保健,保健功效,可推薦商品類別,體重管理
15,保健,高健康意識,是否有高健康意識,是
15,宗教商品,宗教風水偏好,有無宗教商品偏好,有
15,生活,生活用品偏好,有無生活用品偏好,有
15,美容,美容偏好,有無美容偏好,有
15,食品,食品偏好,有無食品偏好,有
15,食品,飲食習慣,是否為素食者,是
15,寵物,寵物偏好,有無養寵物,有
15,寵物,寵物偏好,寵物類型,狗
16,基本類別,基本類別,性別,女
16,基本類別,基本類別,年齡區間,70-79
16,基本類別,基本類別,星座,摩羯座
16,基本類別,基本類別,居住縣市,新北市板橋區
16,基本類別,基本類別,會員等級,A級會員
16,基本類別,基本類別,會員年資分組,20年以上-25年以下
16,保健,保健功效,可推薦商品類別,加強心血管機能
16,保健,保健功效,可推薦商品類別,美容養顏
16,保健,保健功效,可推薦商品類別,強化靈活關節
16,保健,保健功效,可推薦商品類別,眼睛保健
16,保健,保健功效,可推薦商品類別,提升記憶力
16,保健,保健功效,可推薦商品類別,提升調節免疫力
16,保健,保健功效,可推薦商品類別,體重管理
16,保健,高健康意識,是否有高健康意識,是
16,宗教商品,宗教風水偏好,有無宗教商品偏好,有
16,旅遊,旅遊偏好,旅遊國家偏好,歐美
16,旅遊,旅遊偏好,有無旅遊偏好,有
16,生活,生活用品偏好,有無生活用品偏好,有
16,美容,美容偏好,有無美容偏好,有
16,美容,美容偏好,美妝保養類型偏好,護膚SPA
16,食品,食品偏好,有無食品偏好,有
16,寵物,寵物偏好,有無養寵物,無
17,基本類別,基本類別,性別,女
17,基本類別,基本類別,年齡區間,50-59
17,基本類別,基本類別,星座,雙魚座
17,基本類別,基本類別,居住縣市,台中市西屯區
17,基本類別,基本類別,會員等級,A級會員
17,基本類別,基本類別,會員年資分組,20年以上-25年以下
17,保健,保健功效,可推薦商品類別,美容養顏
17,保健,保健功效,可推薦商品類別,強化靈活關節
17,保健,保健功效,可推薦商品類別,眼睛保健
17,保健,保健功效,可推薦商品類別,提升調節免疫力
17,保健,保健功效,可推薦商品類別,體重管理
17,保健,高健康意識,是否有高健康意識,是
17,保健,網路瀏覽行為,保健瀏覽,體重管理
17,宗教商品,宗教風水偏好,有無宗教商品偏好,有
17,旅遊,旅遊偏好,旅遊國家偏好,日韓
17,旅遊,旅遊偏好,有無旅遊偏好,有
17,生活,生活用品偏好,有無生活用品偏好,有
17,美容,美容偏好,有無美容偏好,有
17,美容,美容偏好,美妝保養類型偏好,護膚SPA
17,食品,食品偏好,有無食品偏好,有
18,基本類別,基本類別,性別,女
18,基本類別,基本類別,年齡區間,60-69
18,基本類別,基本類別,星座,處女座
18,基本類別,基本類別,居住縣市,高雄市大寮區
18,基本類別,基本類別,會員等級,A級會員
18,基本類別,基本類別,會員年資分組,20年以上-25年以下
18,保健,保健功效,可推薦商品類別,美容養顏
18,保健,保健功效,可推薦商品類別,提升記憶力
18,保健,保健功效,可推薦商品類別,提升調節免疫力
18,保健,保健功效,可推薦商品類別,腎臟保養
18,保健,保健功效,可推薦商品類別,體重管理
18,保健,高健康意識,是否有高健康意識,是
18,宗教商品,宗教風水偏好,有無宗教商品偏好,有
18,旅遊,旅遊偏好,旅遊國家偏好,台灣
18,旅遊,旅遊偏好,有無旅遊偏好,有
18,生活,生活用品偏好,有無生活用品偏好,有
18,美容,美容偏好,有無美容偏好,有
18,美容,美容偏好,美妝保養類型偏好,護膚SPA
18,食品,食品偏好,有無食品偏好,有
18,食品,飲食習慣,是否為素食者,是
18,寵物,寵物偏好,有無養寵物,無
19,基本類別,基本類別,性別,女
19,基本類別,基本類別,年齡區間,60-69
19,基本類別,基本類別,星座,水瓶座
19,基本類別,基本類別,居住縣市,新北市板橋區
19,基本類別,基本類別,會員等級,A級會員
19,基本類別,基本類別,會員年資分組,20年以上-25年以下
19,保健,保健功效,可推薦商品類別,加強心血管機能
19,保健,保健功效,可推薦商品類別,血糖控制
19,保健,保健功效,可推薦商品類別,男仕精壯
19,保健,保健功效,可推薦商品類別,美容養顏
19,保健,保健功效,可推薦商品類別,強化靈活關節
19,保健,保健功效,可推薦商品類別,眼睛保健
19,保健,保健功效,可推薦商品類別,提升調節免疫力
19,保健,保健功效,可推薦商品類別,腎臟保養
19,保健,保健功效,可推薦商品類別,腸胃保健
19,保健,保健功效,可推薦商品類別,護肝/抗疲勞
19,保健,保健功效,可推薦商品類別,體重管理
19,保健,高健康意識,是否有高健康意識,是
19,宗教商品,宗教風水偏好,有無宗教商品偏好,有
19,旅遊,旅遊偏好,旅遊國家偏好,日韓
19,旅遊,旅遊偏好,旅遊國家偏好,紐澳
19,旅遊,旅遊偏好,有無旅遊偏好,有
19,生活,生活用品偏好,有無生活用品偏好,有
19,美容,美容偏好,有無美容偏好,有
19,美容,美容偏好,美妝保養類型偏好,護膚SPA
19,食品,食品偏好,有無食品偏好,有
20,基本類別,基本類別,性別,女
20,基本類別,基本類別,年齡區間,70-79
20,基本類別,基本類別,星座,雙子座
20,基本類別,基本類別,居住縣市,台南市永康區
20,基本類別,基本類別,會員等級,A級會員
20,基本類別,基本類別,會員年資分組,20年以上-25年以下
20,基本類別,基本類別,職業,退休族
20,保健,保健功效,可推薦商品類別,加強心血管機能
20,保健,保健功效,可推薦商品類別,美容養顏
20,保健,保健功效,可推薦商品類別,強化靈活關節
20,保健,保健功效,可推薦商品類別,眼睛保健
20,保健,保健功效,可推薦商品類別,提升調節免疫力
20,保健,保健功效,可推薦商品類別,腎臟保養
20,保健,保健功效,可推薦商品類別,腸胃保健
20,保健,保健功效,可推薦商品類別,護肝/抗疲勞
20,保健,保健功效,可推薦商品類別,體重管理
20,保健,高健康意識,是否有高健康意識,是
20,宗教商品,宗教風水偏好,有無宗教商品偏好,有
20,生活,生活用品偏好,有無生活用品偏好,有
20,美容,美容偏好,有無美容偏好,有
20,美容,美容偏好,美妝保養類型偏好,護膚SPA
20,食品,食品偏好,有無食品偏好,有
20,食品,飲食習慣,是否為素食者,是
21,基本類別,基本類別,性別,女
21,基本類別,基本類別,年齡區間,50-59
21,基本類別,基本類別,星座,金牛座
21,基本類別,基本類別,居住縣市,彰化縣溪湖鎮
21,基本類別,基本類別,會員等級,A級會員
21,基本類別,基本類別,會員年資分組,20年以上-25年以下
21,保健,保健功效,可推薦商品類別,女性保養
21,保健,保健功效,可推薦商品類別,加強心血管機能
21,保健,保健功效,可推薦商品類別,美容養顏
21,保健,保健功效,可推薦商品類別,眼睛保健
21,保健,保健功效,可推薦商品類別,提升調節免疫力
21,保健,保健功效,可推薦商品類別,體重管理
21,保健,高健康意識,是否有高健康意識,是
21,宗教商品,宗教風水偏好,有無宗教商品偏好,有
21,旅遊,旅遊偏好,旅遊國家偏好,日韓
21,旅遊,旅遊偏好,有無旅遊偏好,有
21,生活,生活用品偏好,有無生活用品偏好,有
21,美容,美容偏好,有無美容偏好,有
21,美容,美容偏好,美妝保養類型偏好,護膚SPA
21,食品,食品偏好,有無食品偏好,有
21,寵物,寵物偏好,有無養寵物,有
21,寵物,寵物偏好,寵物類型,貓
22,基本類別,基本類別,性別,女
22,基本類別,基本類別,年齡區間,60-69
22,基本類別,基本類別,星座,雙子座
22,基本類別,基本類別,居住縣市,新北市永和區
22,基本類別,基本類別,會員等級,A級會員
22,基本類別,基本類別,會員年資分組,20年以上-25年以下
22,保健,保健功效,可推薦商品類別,美容養顏
22,保健,保健功效,可推薦商品類別,強化靈活關節
22,保健,保健功效,可推薦商品類別,提升調節免疫力
22,保健,保健功效,可推薦商品類別,體重管理
22,保健,高健康意識,是否有高健康意識,是
22,保健,網路瀏覽行為,保健瀏覽,體重管理
22,生活,生活用品偏好,有無生活用品偏好,有
22,美容,美容偏好,有無美容偏好,有
22,美容,美容偏好,美妝保養類型偏好,護膚SPA
22,食品,食品偏好,有無食品偏好,有
22,寵物,寵物偏好,有無養寵物,無
23,基本類別,基本類別,性別,女
23,基本類別,基本類別,年齡區間,60-69
23,基本類別,基本類別,星座,射手座
23,基本類別,基本類別,居住縣市,台中市太平區
23,基本類別,基本類別,會員等級,A級會員
23,基本類別,基本類別,會員年資分組,20年以上-25年以下
23,基本類別,基本類別,職業,退休族
23,保健,保健功效,可推薦商品類別,美容養顏
23,保健,保健功效,可推薦商品類別,強化靈活關節
23,保健,保健功效,可推薦商品類別,提升調節免疫力
23,保健,保健功效,可推薦商品類別,體重管理
23,保健,高健康意識,是否有高健康意識,是
23,宗教商品,宗教風水偏好,有無宗教商品偏好,有
23,生活,生活用品偏好,有無生活用品偏好,有
23,美容,美容偏好,有無美容偏好,有
23,美容,美容偏好,美妝保養類型偏好,護膚SPA
23,食品,食品偏好,有無食品偏好,有
23,寵物,寵物偏好,有無養寵物,無
24,基本類別,基本類別,性別,女
24,基本類別,基本類別,年齡區間,70-79
24,基本類別,基本類別,星座,射手座
24,基本類別,基本類別,居住縣市,台北市中正區
24,基本類別,基本類別,會員等級,A級會員
24,基本類別,基本類別,會員年資分組,20年以上-25年以下
24,保健,保健功效,可推薦商品類別,加強心血管機能
24,保健,保健功效,可推薦商品類別,安神/幫助入睡
24,保健,保健功效,可推薦商品類別,美容養顏
24,保健,保健功效,可推薦商品類別,強化靈活關節
24,保健,保健功效,可推薦商品類別,眼睛保健
24,保健,保健功效,可推薦商品類別,提升調節免疫力
24,保健,保健功效,可推薦商品類別,腎臟保養
24,保健,保健功效,可推薦商品類別,護肝/抗疲勞
24,保健,保健功效,可推薦商品類別,體重管理
24,保健,高健康意識,是否有高健康意識,是
24,宗教商品,宗教風水偏好,有無宗教商品偏好,有
24,生活,生活用品偏好,有無生活用品偏好,有
24,美容,美容偏好,有無美容偏好,有
24,食品,食品偏好,有無食品偏好,有
24,食品,飲食習慣,是否為素食者,是
24,寵物,寵物偏好,有無養寵物,無
25,基本類別,基本類別,性別,女
25,基本類別,基本類別,年齡區間,80以上
25,基本類別,基本類別,星座,雙子座
25,基本類別,基本類別,居住縣市,台北市松山區
25,基本類別,基本類別,會員等級,A級會員
25,基本類別,基本類別,會員年資分組,20年以上-25年以下
25,保健,保健功效,可推薦商品類別,美容養顏
25,保健,保健功效,可推薦商品類別,眼睛保健
25,保健,保健功效,可推薦商品類別,提升調節免疫力
25,保健,保健功效,可推薦商品類別,腸胃保健
25,保健,保健功效,可推薦商品類別,體重管理
25,保健,高健康意識,是否有高健康意識,是
25,宗教商品,宗教風水偏好,有無宗教商品偏好,有
25,生活,生活用品偏好,有無生活用品偏好,有
25,美容,美容偏好,有無美容偏好,有
25,美容,美容偏好,美妝保養類型偏好,護膚SPA
25,食品,食品偏好,有無食品偏好,有
25,食品,飲食習慣,是否為素食者,是
25,寵物,寵物偏好,有無養寵物,無
26,基本類別,基本類別,性別,女
26,基本類別,基本類別,年齡區間,50-59
26,基本類別,基本類別,星座,雙魚座
26,基本類別,基本類別,居住縣市,台北市中山區
26,基本類別,基本類別,會員等級,A級會員
26,基本類別,基本類別,會員年資分組,20年以上-25年以下
26,保健,保健功效,可推薦商品類別,強化靈活關節
26,保健,保健功效,可推薦商品類別,眼睛保健
26,保健,保健功效,可推薦商品類別,提升調節免疫力
26,保健,保健功效,可推薦商品類別,體重管理
26,保健,高健康意識,是否有高健康意識,是
26,宗教商品,宗教風水偏好,有無宗教商品偏好,有
26,旅遊,旅遊偏好,旅遊國家偏好,日韓
26,旅遊,旅遊偏好,旅遊國家偏好,台灣
26,旅遊,旅遊偏好,有無旅遊偏好,有
26,生活,生活用品偏好,有無生活用品偏好,有
26,美容,美容偏好,有無美容偏好,有
26,美容,美容偏好,美妝保養類型偏好,彩妝
26,美容,美容偏好,美妝保養類型偏好,醫美
26,美容,美容偏好,美妝保養類型偏好,護膚SPA
26,食品,食品偏好,有無食品偏好,有
27,基本類別,基本類別,性別,女
27,基本類別,基本類別,年齡區間,70-79
27,基本類別,基本類別,星座,天秤座
27,基本類別,基本類別,居住縣市,新北市板橋區
